providerId,providerName_old,address_old,city_old,state_old,zipCode_old,region,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,providerName
10029,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,Alabama,36801,AL - Birmingham,32.638059,-85.406529,1,range_interpolation,2000,Pepperell Pkwy,Opelika,AL,Lee County,36801,US,East Alabama Medical Center
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,Alabama,35233,AL - Birmingham,33.534194,-86.827759,1,range_interpolation,619,19th Ave N,Birmingham,AL,Jefferson County,35204,US,University Of Alabama Hospital
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,Alabama,35058,AL - Birmingham,34.206609,-86.863343,0.8,street_center,,Section Line Rd,Cullman,AL,Cullman County,35058,US,Cullman Regional Medical Center
10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,Alabama,36420,FL - Pensacola,31.296488,-86.496835,1,range_interpolation,849,S Three Notch St,Andalusia,AL,Covington County,36420,US,Andalusia Regional Hospital
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,Alabama,36201,AL - Birmingham,33.667854,-85.825046,1,range_interpolation,301,E 18th St,Anniston,AL,Calhoun County,36201,US,Stringfellow Memorial Hospital
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,Alabama,35801,AL - Huntsville,34.720807,-86.582602,0.8,street_center,,Sivley Rd SW,Huntsville,AL,Madison County,35801,US,Huntsville Hospital
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,Alabama,35903,AL - Birmingham,34.009284,-85.971315,1,range_interpolation,1007,Goodyear Ave,Gadsden,AL,Etowah County,35903,US,Gadsden Regional Medical Center
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,Alabama,35901,AL - Birmingham,34.005221,-86.003956,1,range_interpolation,600,S 3rd St,Gadsden,AL,Etowah County,35901,US,Riverview Regional Medical Center
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,Alabama,36330,AL - Dothan,31.317918,-85.855201,1,range_interpolation,400,N Edwards St,Enterprise,AL,Coffee County,36330,US,Medical Center Enterprise
10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,Alabama,36305,AL - Dothan,31.228423,-85.434946,0.8,street_center,,State Rte 12,Dothan,AL,Houston County,36305,US,Flowers Hospital
10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,Alabama,35205,AL - Birmingham,33.494995,-86.808077,1,place,,,Birmingham,AL,Jefferson County,35205,US,St Vincent'S Birmingham
10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,Alabama,35768,AL - Huntsville,34.661387,-86.047193,1,range_interpolation,380,Woods Cove Rd,Scottsboro,AL,Jackson County,35768,US,Highlands Medical Center
10065,RUSSELL HOSPITAL,3316 HIGHWAY 280,ALEXANDER CITY,Alabama,35010,AL - Birmingham,32.915266,-85.952075,0.8,street_center,,State Rte 38,Alexander City,AL,Tallapoosa County,35010,US,Russell Hospital
10078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,ANNISTON,Alabama,36207,AL - Birmingham,33.656968,-85.823381,1,range_interpolation,400,E 10th St,Anniston,AL,Calhoun County,36207,US,Northeast Alabama Regional Med Center
10079,ATHENS-LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,Alabama,35611,AL - Huntsville,34.804188,-86.978535,1,rooftop,700,Market St W,Athens,AL,Limestone County,35611,US,Athens-Limestone Hospital
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,Alabama,36535,AL - Mobile,30.425239,-87.683352,0.9,range_interpolation,1613,McKenzie St,Foley,AL,Baldwin County,36535,US,South Baldwin Regional Medical Center
10085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,Alabama,35601,AL - Huntsville,34.591042,-86.972731,1,range_interpolation,1201,7th St SE,Decatur,AL,Morgan County,35601,US,Decatur Morgan Hospital-Decatur Campus
10087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,MOBILE,Alabama,36617,AL - Mobile,30.708272,-88.099462,1,range_interpolation,2451,Fillingim St,Mobile,AL,Mobile County,36607,US,University Of South Alabama Medical Center
10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,Alabama,35502,AL - Birmingham,33.84121,-87.237513,1,range_interpolation,3400,Hwy 78,Jasper,AL,Walker County,35501,US,Walker Baptist Medical Center
10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,Alabama,36608,AL - Mobile,30.679394,-88.19926,1,rooftop,6801,Airport Blvd,Mobile,AL,Mobile County,36608,US,Providence Hospital
10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,Alabama,35401,AL - Tuscaloosa,33.205218,-87.525462,0.6,rooftop,809,E University Bl,Tuscaloosa,AL,Tuscaloosa County,35401,US,D C H Regional Medical Center
10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,Alabama,36532,AL - Mobile,30.519837,-87.888425,1,range_interpolation,750,Morphy Ave,Fairhope,AL,Baldwin County,36532,US,Thomas Hospital
10103,BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,Alabama,35211,AL - Birmingham,33.498539,-86.846362,1,rooftop,701,Princeton Ave SW,Birmingham,AL,Jefferson County,35211,US,Baptist Medical Center-Princeton
10104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,Alabama,35243,AL - Birmingham,33.438309,-86.723776,0.8,street_center,,Grandview Pkwy,Birmingham,AL,Jefferson County,35243,US,Grandview Medical Center
10113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,Alabama,36652,AL - Mobile,30.696725,-88.080267,1,rooftop,5,Mobile Infirmary Cir,Mobile,AL,Mobile County,36607,US,Mobile Infirmary Medical Center
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,Alabama,35021,AL - Birmingham,33.372517,-86.990428,1,rooftop,995,9th Ave SW,Bessemer,AL,Jefferson County,35022,US,"Medical West, An Affiliate Of Uab Health System"
10126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,Alabama,36081,AL - Montgomery,31.794454,-85.953415,0.8,street_center,,State Ave,Troy,AL,Pike County,36081,US,Troy Regional Medical Center
10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,Alabama,35801,AL - Huntsville,34.718428,-86.556439,1,place,,,Huntsville,AL,Madison County,35801,US,Crestwood Medical Center
10139,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,Alabama,35209,AL - Birmingham,33.462914,-86.777232,1,range_interpolation,2010,Brookwood Medical Center Dr,Birmingham,AL,Jefferson County,35209,US,Brookwood Medical Center
10144,SPRINGHILL MEMORIAL HOSPITAL,3719 DAUPHIN STREET,MOBILE,Alabama,36608,AL - Mobile,30.68446,-88.131605,1,rooftop,3719,Dauphin St,Mobile,AL,Mobile County,36608,US,Springhill Memorial Hospital
10150,L V STABLER MEMORIAL HOSPITAL,29 L V STABLER DRIVE,GREENVILLE,Alabama,36037,AL - Montgomery,31.828541,-86.646359,1,range_interpolation,29,L V Stabler Dr,Greenville,AL,Butler County,36037,US,L V Stabler Memorial Hospital
10157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,Alabama,35661,AL - Birmingham,34.745112,-87.676529,0.9,range_interpolation,201,Avalon Ave,Muscle Shoals,AL,Colbert County,35661,US,Shoals Hospital
10158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,Alabama,35653,AL - Birmingham,34.476453,-87.7441,0.8,street_center,,Andrew Jackson Hwy,Russellville,AL,Franklin County,35653,US,Russellville Hospital
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,Alabama,35150,AL - Birmingham,33.164538,-86.254089,1,range_interpolation,315,W Hickory St,Sylacauga,AL,Talladega County,35150,US,Coosa Valley Medical Center
10168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,Alabama,36867,GA - Columbus,32.516932,-85.014927,0.8,street_center,,River Chase Dr,Phenix City,AL,Lee County,36867,US,Jack Hughston Memorial Hospital
20001,PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,ANCHORAGE,Alaska,99508,AK - Anchorage,61.205076,-149.823203,1,place,,,Anchorage,AK,Anchorage Municipality,99508,US,Providence Alaska Medical Center
20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,Alaska,99645,AK - Anchorage,61.563131,-149.262625,1,range_interpolation,2500,S Woodworth Loop,Palmer,AK,Matanuska-Susitna Borough,99645,US,Mat-Su Regional Medical Center
20008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,Alaska,99801,AK - Anchorage,58.328909,-134.467188,1,range_interpolation,3260,Hospital Dr,Juneau,AK,Juneau City and Borough,99801,US,Bartlett Regional Hospital
20012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,Alaska,99701,AK - Anchorage,64.834637,-147.739155,1,range_interpolation,1650,Cowles St,Fairbanks,AK,Fairbanks North Star Borough,99701,US,Fairbanks Memorial Hospital
20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,Alaska,99508,AK - Anchorage,61.209863,-149.828967,1,range_interpolation,2801,Debarr Rd,Anchorage,AK,Anchorage Municipality,99508,US,Alaska Regional Hospital
20024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,SOLDOTNA,Alaska,99669,AK - Anchorage,60.494317,-151.077821,1,range_interpolation,250,Hospital Pl,Soldotna,AK,Kenai Peninsula Borough,99669,US,Central Peninsula General Hospital
20026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,Alaska,99508,AK - Anchorage,61.182014,-149.795485,1,range_interpolation,4315,Diplomacy Dr,Anchorage,AK,Anchorage Municipality,99508,US,Alaska Native Medical Center
30002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,1111 EAST MCDOWELL ROAD,PHOENIX,Arizona,85006,AZ - Phoenix,33.465514,-112.087548,0.7,rooftop,1111,W McDowell Rd,Phoenix,AZ,Maricopa County,85007,US,Banner - University Medical Center Phoenix
30006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,Arizona,85712,AZ - Tucson,32.252393,-110.879009,1,rooftop,5301,E Grant Rd,Tucson,AZ,Pima County,85712,US,Tucson Medical Center
30007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,COTTONWOOD,Arizona,86326,AZ - Phoenix,34.738424,-112.030956,1,range_interpolation,269,S Candy Ln,Cottonwood,AZ,Yavapai County,86326,US,Verde Valley Medical Center
30010,ST. MARY'S HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON,Arizona,85745,AZ - Tucson,32.228595,-111.00126,1,range_interpolation,1601,W St Marys Rd,Tucson,AZ,Pima County,85745,US,St. Mary'S Hospital
30011,ST JOSEPH'S HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,Arizona,85711,AZ - Tucson,32.227214,-110.85566,1,rooftop,350,N Wilmot Rd,Tucson,AZ,Pima County,85711,US,St Joseph'S Hospital
30012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,PRESCOTT,Arizona,86301,AZ - Phoenix,34.563259,-112.482234,1,range_interpolation,1003,Willow Creek Rd,Prescott,AZ,Yavapai County,86301,US,Yavapai Regional Medical Center
30013,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,YUMA,Arizona,85364,AZ - Phoenix,32.683576,-114.701851,0.8,street_center,,S Ave E,Yuma,AZ,Yuma County,85364,US,Yuma Regional Medical Center
30014,JOHN C. LINCOLN MEDICAL CENTER,250 EAST DUNLAP AVENUE,PHOENIX,Arizona,85020,AZ - Phoenix,33.569424,-112.070614,1,rooftop,250,E Dunlap Ave,Phoenix,AZ,Maricopa County,85020,US,John C. Lincoln Medical Center
30023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,Arizona,86001,AZ - Phoenix,35.208584,-111.645088,1,rooftop,1200,N Beaver St,Flagstaff,AZ,Coconino County,86001,US,Flagstaff Medical Center
30024,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,PHOENIX,Arizona,85013,AZ - Phoenix,33.482122,-112.080552,1,rooftop,350,W Thomas Rd,Phoenix,AZ,Maricopa County,85013,US,St. Joseph'S Hospital And Medical Center
30030,ABRAZO CENTRAL CAMPUS,2000 WEST BETHANY HOME ROAD,PHOENIX,Arizona,85015,AZ - Phoenix,33.525116,-112.10192,1,rooftop,2000,W Bethany Home Rd,Phoenix,AZ,Maricopa County,85015,US,Abrazo Central Campus
30033,BANNER PAYSON MEDICAL CENTER,807 SOUTH PONDEROSA DRIVE,PAYSON,Arizona,85541,AZ - Phoenix,34.230398,-111.321111,1,rooftop,807,S Ponderosa St,Payson,AZ,Gila County,85541,US,Banner Payson Medical Center
30036,CHANDLER REGIONAL MEDICAL CENTER,1955 WEST FRYE ROAD,CHANDLER,Arizona,85224,AZ - Mesa,33.297497,-111.874613,1,rooftop,1955,W Frye Rd,Chandler,AZ,Maricopa County,85224,US,Chandler Regional Medical Center
30037,ST LUKE'S MEDICAL CENTER,1800 EAST VAN BUREN STREET,PHOENIX,Arizona,85006,AZ - Phoenix,33.451657,-112.098379,0.7,rooftop,1800,W Van Buren St,Phoenix,AZ,Maricopa County,85007,US,St Luke'S Medical Center
30038,SCOTTSDALE OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,SCOTTSDALE,Arizona,85251,AZ - Phoenix,33.488546,-111.922913,1,rooftop,7400,E Osborn Rd,Scottsdale,AZ,Maricopa County,85251,US,Scottsdale Osborn Medical Center
30043,CANYON VISTA MEDICAL CENTER,5700 EAST HIGHWAY 90,SIERRA VISTA,Arizona,85635,AZ - Tucson,31.554452,-110.230768,1,range_interpolation,5700,State Rte 90,Sierra Vista,AZ,Cochise County,85635,US,Canyon Vista Medical Center
30055,KINGMAN REGIONAL MEDICAL CENTER,3269 STOCKTON HILL ROAD,KINGMAN,Arizona,86409,AZ - Phoenix,35.216374,-114.035294,1,range_interpolation,3269,Stockton Hill Rd,Kingman,AZ,Mohave County,86409,US,Kingman Regional Medical Center
30061,BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,Arizona,85351,AZ - Sun City,33.603265,-112.282547,1,rooftop,10401,W Thunderbird Blvd,Sun City,AZ,Maricopa County,85351,US,Banner Boswell Medical Center
30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,2200 EAST SHOW LOW LAKE ROAD,SHOW LOW,Arizona,85901,AZ - Phoenix,34.202068,-110.019162,1,range_interpolation,2200,E Show Low Lake Rd,Show Low,AZ,Navajo County,85901,US,Summit Healthcare Regional Medical Center
30064,BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,1501 NORTH CAMPBELL AVENUE,TUCSON,Arizona,85724,AZ - Tucson,32.240496,-110.946085,1,rooftop,1501,N Campbell Ave,Tucson,AZ,Pima County,85719,US,Banner-University Medical Center Tucson Campus
30065,BANNER DESERT MEDICAL CENTER,1400 SOUTH  DOBSON ROAD,MESA,Arizona,85202,AZ - Mesa,33.389281,-111.874975,1,rooftop,1400,S Dobson Rd,Mesa,AZ,Maricopa County,85202,US,Banner Desert Medical Center
30068,MT GRAHAM REGIONAL MEDICAL CENTER,1600  SOUTH 20TH AVENUE,SAFFORD,Arizona,85546,AZ - Tucson,32.821721,-109.732993,1,range_interpolation,1600,S 20th Ave,Safford,AZ,Graham County,85546,US,Mt Graham Regional Medical Center
30069,HAVASU REGIONAL MEDICAL CENTER,101 CIVIC CENTER LANE,LAKE HAVASU CITY,Arizona,86403,AZ - Phoenix,34.479713,-114.339664,1,range_interpolation,101,Civic Center Ln,Lake Havasu City,AZ,Mohave County,86403,US,Havasu Regional Medical Center
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,Arizona,86045,AZ - Phoenix,36.132723,-111.241773,1,place,,,Tuba City,AZ,Coconino County,86045,US,Tuba City Regional Health Care Corporation
30083,ABRAZO SCOTTSDALE CAMPUS,3929 EAST BELL ROAD,PHOENIX,Arizona,85032,AZ - Phoenix,33.639201,-111.998131,1,rooftop,3929,E Bell Rd,Phoenix,AZ,Maricopa County,85032,US,Abrazo Scottsdale Campus
30085,NORTHWEST MEDICAL CENTER,6200 NORTH LA CHOLLA BOULEVARD,TUCSON,Arizona,85741,AZ - Tucson,32.314781,-111.011991,1,range_interpolation,6200,N La Cholla Blvd,Tucson,AZ,Pima County,85741,US,Northwest Medical Center
30087,SCOTTSDALE SHEA MEDICAL CENTER,9003 EAST SHEA BOULEVARD,SCOTTSDALE,Arizona,85260,AZ - Phoenix,33.581024,-111.88528,1,rooftop,9003,E Shea Blvd,Scottsdale,AZ,Maricopa County,85258,US,Scottsdale Shea Medical Center
30088,BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,MESA,Arizona,85206,AZ - Mesa,33.410561,-111.688062,1,rooftop,6644,E Baywood Ave,Mesa,AZ,Maricopa County,85206,US,Banner Baywood Medical Center
30089,BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,GLENDALE,Arizona,85306,AZ - Phoenix,33.609142,-112.179669,1,rooftop,5555,W Thunderbird Rd,Glendale,AZ,Maricopa County,85306,US,Banner Thunderbird Medical Center
30092,HONORHEALTH DEER VALLEY MEDICAL CENTER,19829 NORTH 27TH AVENUE,PHOENIX,Arizona,85027,AZ - Phoenix,33.6659,-112.115948,1,rooftop,19829,N 27th Ave,Phoenix,AZ,Maricopa County,85027,US,Honorhealth Deer Valley Medical Center
30093,BANNER DEL E WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,SUN CITY WEST,Arizona,85375,AZ - Sun City,33.659783,-112.373003,1,rooftop,14502,W Meeker Blvd,Sun City West,AZ,Maricopa County,85375,US,Banner Del E Webb Medical Center
30094,ABRAZO ARROWHEAD CAMPUS,18701 NORTH 67TH AVENUE,GLENDALE,Arizona,85308,AZ - Phoenix,33.655072,-112.201812,1,rooftop,18701,N 67th Ave,Glendale,AZ,Maricopa County,85308,US,Abrazo Arrowhead Campus
30101,WESTERN ARIZONA REGIONAL MEDICAL CENTER,2735 SILVER CREEK ROAD,BULLHEAD CITY,Arizona,86442,NV - Las Vegas,35.110019,-114.555073,1,range_interpolation,2735,Silver Creek Rd,Bullhead City,AZ,Mohave County,86442,US,Western Arizona Regional Medical Center
30103,MAYO CLINIC HOSPITAL,5777 EAST MAYO BOULEVARD,PHOENIX,Arizona,85054,AZ - Phoenix,33.657796,-111.953959,1,rooftop,5777,E Mayo Blvd,Phoenix,AZ,Maricopa County,85054,US,Mayo Clinic Hospital
30105,BANNER HEART HOSPITAL,6750 EAST BAYWOOD AVENUE,MESA,Arizona,85206,AZ - Mesa,33.411381,-111.686501,1,rooftop,6750,E Baywood Ave,Mesa,AZ,Maricopa County,85206,US,Banner Heart Hospital
30107,ARIZONA SPINE AND JOINT HOSPITAL,4620 EAST BASELINE ROAD,MESA,Arizona,85206,AZ - Mesa,33.379927,-111.7347,1,rooftop,4620,E Baseline Rd,Mesa,AZ,Maricopa County,85206,US,Arizona Spine And Joint Hospital
30108,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",6501 NORTH 19TH AVENUE,PHOENIX,Arizona,85015,AZ - Phoenix,33.53163,-112.098767,1,rooftop,6501,N 19th Ave,Phoenix,AZ,Maricopa County,85015,US,"Core Institute Specialty Hospital, The"
30110,ABRAZO WEST CAMPUS,13677 WEST MCDOWELL ROAD,GOODYEAR,Arizona,85395,AZ - Phoenix,33.46208,-112.352934,1,rooftop,13677,W McDowell Rd,Goodyear,AZ,Maricopa County,85395,US,Abrazo West Campus
30111,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,2800 EAST AJO WAY,TUCSON,Arizona,85713,AZ - Tucson,32.175798,-110.930692,1,rooftop,2800,E Ajo Way,Tucson,AZ,Pima County,85713,US,Banner-University Medical Center South Campus
30112,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALITY HOSP,2905 WEST WARNER ROAD,CHANDLER,Arizona,85224,AZ - Mesa,33.333927,-111.891193,1,rooftop,2905,W Warner Rd,Chandler,AZ,Maricopa County,85224,US,Arizona Orthopedic And Surgical Speciality Hosp
30114,ORO VALLEY HOSPITAL,1551 EAST TANGERINE ROAD,ORO VALLEY,Arizona,85755,AZ - Tucson,32.428472,-110.94935,1,rooftop,1551,E Tangerine Rd,Oro Valley,AZ,Pima County,85755,US,Oro Valley Hospital
30115,BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,PHOENIX,Arizona,85037,AZ - Phoenix,33.478178,-112.25744,1,rooftop,9201,W Thomas Rd,Phoenix,AZ,Maricopa County,85037,US,Banner Estrella Medical Center
30117,VALLEY VIEW MEDICAL CENTER,5330 SOUTH HIGHWAY 95,FORT MOHAVE,Arizona,86426,NV - Las Vegas,35.003433,-114.597918,1,range_interpolation,5330,State Rte 95,Fort Mohave,AZ,Mohave County,86426,US,Valley View Medical Center
30118,YAVAPAI REGIONAL MEDICAL CENTER-EAST CAMPUS,7700 EAST FLORENTINE ROAD,PRESCOTT VALLEY,Arizona,86314,AZ - Phoenix,34.588069,-112.327046,1,range_interpolation,7700,E Florentine Rd,Prescott Valley,AZ,Yavapai County,86314,US,Yavapai Regional Medical Center-East Campus
30119,MERCY GILBERT MEDICAL CENTER,3555 SOUTH VAL VISTA DRIVE,GILBERT,Arizona,85296,AZ - Mesa,33.28709,-111.75528,1,range_interpolation,3555,S Val Vista Dr,Gilbert,AZ,Maricopa County,85297,US,Mercy Gilbert Medical Center
30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",1301 SOUTH CRISMON ROAD,MESA,Arizona,85209,AZ - Mesa,33.39152,-111.612465,1,rooftop,1301,S Crismon Rd,Mesa,AZ,Maricopa County,85209,US,"Mountain Vista Medical Center, Lp"
30122,BANNER GATEWAY MEDICAL CENTER,1900 NORTH HIGLEY ROAD,GILBERT,Arizona,85234,AZ - Mesa,33.384391,-111.721951,1,rooftop,1900,N Higley Rd,Gilbert,AZ,Maricopa County,85234,US,Banner Gateway Medical Center
30123,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,7400 EAST THOMPSON PEAK PARKWAY,SCOTTSDALE,Arizona,85255,AZ - Phoenix,33.670459,-111.922618,1,rooftop,7400,E Thompson Peak Pkwy,Scottsdale,AZ,Maricopa County,85255,US,Scottsdale Thompson Peak Medical Center
30130,BANNER IRONWOOD MEDICAL CENTER,37000 NORTH GANTZEL ROAD,SAN TAN VALLEY,Arizona,85140,AZ - Mesa,33.214482,-111.563613,1,rooftop,37000,N Gantzel Rd,Queen Creek,AZ,Pinal County,85242,US,Banner Ironwood Medical Center
30131,O.A.S.I.S. HOSPITAL,750 NORTH 40TH STREET,PHOENIX,Arizona,85008,AZ - Phoenix,33.455851,-111.995394,1,range_interpolation,750,N 40th St,Phoenix,AZ,Maricopa County,85008,US,O.A.S.I.S. Hospital
40001,SILOAM SPRINGS REGIONAL HOSPITAL,603 NORTH PROGRESS AVENUE,SILOAM SPRINGS,Arkansas,72761,AR - Springdale,36.189996,-94.507736,1,rooftop,603,N Progress Ave,Siloam Springs,AR,Benton County,72761,US,Siloam Springs Regional Hospital
40002,JOHNSON REGIONAL MEDICAL CENTER,1100 EAST POPLAR STREET,CLARKSVILLE,Arkansas,72830,AR - Little Rock,35.464519,-93.44411,1,range_interpolation,1100,E Poplar St,Clarksville,AR,Johnson County,72830,US,Johnson Regional Medical Center
40004,WASHINGTON REGIONAL MEDICAL CENTER,3215 N NORTH HILLS BOULEVARD,FAYETTEVILLE,Arkansas,72703,AR - Springdale,36.118332,-94.043243,0.33,place,,,Fayetteville,AR,Washington County,72703,US,Washington Regional Medical Center
