drg,procedure_id,procedure_name,provider_id,provider_name,address,city,state,zip_code,region,total_discharges,average_covered_charges,average_totalPayments,average_medicare_payments,patient_oop_payments
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,140276,LOYOLA UNIVERSITY MEDICAL CENTER,2160 S 1ST AVENUE,MAYWOOD,Illinois,60153,IL - Melrose Park,17,690122.53,243153.88,208347.06,34806.82
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,140281,NORTHWESTERN MEMORIAL HOSPITAL,251 E HURON ST,CHICAGO,Illinois,60611,IL - Chicago,21,883459.05,213377,198309,15068
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,150056,INDIANA UNIVERSITY HEALTH,1701 N SENATE BLVD,INDIANAPOLIS,Indiana,46202,IN - Indianapolis,11,1441760.09,302066,278908.09,23157.91
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,150084,ST VINCENT HOSPITAL & HEALTH SERVICES,2001 W 86TH ST,INDIANAPOLIS,Indiana,46260,IN - Indianapolis,18,718064.5,177297.06,158247.17,19049.89
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,160058,UNIVERSITY OF IOWA HOSPITAL & CLINICS,200 HAWKINS DRIVE,IOWA CITY,Iowa,52242,IA - Iowa City,24,760412.21,243514.83,194955.75,48559.08
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,180040,JEWISH HOSPITAL & ST MARY'S HEALTHCARE,200 ABRAHAM FLEXNER WAY,LOUISVILLE,Kentucky,40202,KY - Louisville,17,758178.94,173141.06,154624.82,18516.24
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,180067,UNIVERSITY OF KENTUCKY HOSPITAL,800 ROSE STREET,LEXINGTON,Kentucky,40536,KY - Lexington,13,813341.38,231035.38,217378.23,13657.15
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,190036,OCHSNER MEDICAL CENTER,1516 JEFFERSON HWY,NEW ORLEANS,Louisiana,70121,LA - New Orleans,19,725489.53,205274.26,179825.21,25449.05
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,Massachusetts,2115,MA - Boston,21,895376.67,258423.24,247499.05,10924.19
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,220116,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,Massachusetts,2111,MA - Boston,34,560755.12,281705.21,269401.26,12303.95
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,230038,SPECTRUM HEALTH - BUTTERWORTH CAMPUS,100 MICHIGAN ST NE,GRAND RAPIDS,Michigan,49503,MI - Grand Rapids,27,523837,194225.85,192235.78,1990.07
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,230046,UNIVERSITY OF MICHIGAN HEALTH SYSTEM,"1500 E MEDICAL CENTER DRIVE, SPC 5474",ANN ARBOR,Michigan,48109,MI - Ann Arbor,30,665489.3,299305.7,197717.4,101588.3
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,230053,HENRY FORD HOSPITAL,2799 W GRAND BLVD,DETROIT,Michigan,48202,MI - Detroit,14,704545.07,273976.86,211292.29,62684.57
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,240010,MAYO CLINIC HOSPITAL ROCHESTER,1216 SECOND STREET SOUTHWEST,ROCHESTER,Minnesota,55902,MN - Rochester,26,563417.96,331390.92,222097.54,109293.38
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,240057,ABBOTT NORTHWESTERN HOSPITAL,800 EAST 28TH STREET,MINNEAPOLIS,Minnesota,55407,MN - Minneapolis,11,814581.73,195093.82,191242.73,3851.09
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,240080,"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW",2450 RIVERSIDE AVENUE,MINNEAPOLIS,Minnesota,55454,MN - Minneapolis,22,716696.41,233668,212573.41,21094.59
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,260032,BARNES JEWISH HOSPITAL,ONE BARNES-JEWISH HOSPITAL PLAZA,SAINT LOUIS,Missouri,63110,MO - St. Louis,45,773946.22,279663.09,202931.11,76731.98
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,260138,ST LUKES HOSPITAL OF KANSAS CITY,4401 WORNALL ROAD,KANSAS CITY,Missouri,64111,MO - Kansas City,18,723666.78,187371.83,186270.11,1101.72
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,280013,THE NEBRASKA MEDICAL CENTER DBA NEBRASKA MEDICINE,987400 NEBRASKA MEDICAL CENTER,OMAHA,Nebraska,68198,NE - Omaha,36,730684,225829.64,204453.83,21375.81
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,310002,NEWARK BETH ISRAEL MEDICAL CENTER,201 LYONS AVE,NEWARK,New Jersey,7112,NJ - Newark,28,1100601.75,241902.96,226881.82,15021.14
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,New York,10029,NY - Manhattan,20,588095.5,275677.1,240922.2,34754.9
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,New York,10467,NY - Bronx,13,901745.46,274215.15,258120.54,16094.61
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,330101,NEW YORK-PRESBYTERIAN HOSPITAL,525 EAST 68TH STREET,NEW YORK,New York,10021,NY - Manhattan,33,1202874.33,352565.73,331520.15,21045.58
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,330234,WESTCHESTER MEDICAL CENTER,100 WOODS RD,VALHALLA,New York,10595,NY - White Plains,13,1709889.08,351838,318948.54,32889.46
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,330285,STRONG MEMORIAL HOSPITAL,601 ELMWOOD AVE,ROCHESTER,New York,14642,NY - Rochester,24,478914.17,257187.75,185077.08,72110.67
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,340030,DUKE UNIVERSITY HOSPITAL,PO BOX 3814 DUMC  ERWIN RD,DURHAM,North Carolina,27710,NC - Durham,40,971722.08,273829.85,241655.3,32174.55
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,340047,NORTH CAROLINA BAPTIST HOSPITAL,MEDICAL CENTER BOULEVARD,WINSTON-SALEM,North Carolina,27157,NC - Winston-Salem,13,572894.69,219051.15,197170.85,21880.3
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,340061,UNIVERSITY OF NORTH CAROLINA HOSPITAL,101 MANNING DRIVE,CHAPEL HILL,North Carolina,27514,NC - Durham,16,468733.5,217126.06,187985.19,29140.87
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,340113,CAROLINAS MEDICAL CENTER/BEHAV HEALTH,1000 BLYTHE BLVD,CHARLOTTE,North Carolina,28203,NC - Charlotte,11,662233.18,184649,170883.27,13765.73
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,360085,OHIO STATE UNIVERSITY HOSPITALS,410 WEST 10TH AVENUE,COLUMBUS,Ohio,43210,OH - Columbus,18,922798.89,210959,198469.61,12489.39
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,360180,CLEVELAND CLINIC,9500 EUCLID AVENUE,CLEVELAND,Ohio,44195,OH - Cleveland,24,702418.33,202792.08,174133.46,28658.62
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,370028,INTEGRIS BAPTIST MEDICAL CENTER,3300 NORTHWEST EXPRESSWAY,OKLAHOMA CITY,Oklahoma,73112,OK - Oklahoma City,33,1338839.88,238949.09,222983.36,15965.73
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,380009,OHSU HOSPITAL AND CLINICS,3181 SW SAM JACKSON PARK ROAD,PORTLAND,Oregon,97239,OR - Portland,18,459509.72,217722.61,210304,7418.61
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,390027,TEMPLE UNIVERSITY HOSPITAL,3401 NORTH BROAD STREET,PHILADELPHIA,Pennsylvania,19140,PA - Philadelphia,12,2794183.75,280442.67,235201.67,45241
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,390111,HOSPITAL OF UNIV OF PENNSYLVANIA,34TH & SPRUCE STS,PHILADELPHIA,Pennsylvania,19104,PA - Philadelphia,29,1385503,290649.1,238058.24,52590.86
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,390164,UPMC PRESBYTERIAN SHADYSIDE,200 LOTHROP STREET,PITTSBURGH,Pennsylvania,15213,PA - Pittsburgh,14,1654384.93,204544.64,145808.64,58736
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,390231,ABINGTON MEMORIAL HOSPITAL,1200 OLD YORK ROAD,ABINGTON,Pennsylvania,19001,PA - Philadelphia,11,678654.91,176971.45,172914.82,4056.63
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,390256,MILTON S HERSHEY MEDICAL CENTER,500 UNIVERSITY DRIVE,HERSHEY,Pennsylvania,17033,PA - Harrisburg,11,1393351.64,376950.36,301127.55,75822.81
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,440039,VANDERBILT UNIVERSITY HOSPITAL,1161 21ST AVENUE SOUTH,NASHVILLE,Tennessee,37232,TN - Nashville,19,691394.16,188368.58,186899.63,1468.95
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,440048,BAPTIST MEMORIAL HOSPITAL,6019 WALNUT GROVE ROAD,MEMPHIS,Tennessee,38120,TN - Memphis,15,852935.27,180182,179350.67,831.33
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,440082,SAINT THOMAS WEST HOSPITAL,"4220 HARDING RD, PO BOX 380",NASHVILLE,Tennessee,37205,TN - Nashville,11,976766.73,198706.73,198363.09,343.64
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,450021,BAYLOR UNIVERSITY MEDICAL CENTER,3500 GASTON AVE,DALLAS,Texas,75246,TX - Dallas,39,602633.33,208717.62,180369.82,28347.8
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,450044,UT SOUTHWESTERN UNIVERSITY HOSPITAL ST PAUL,6201 HARRY HINES BLVD,DALLAS,Texas,75390,TX - Dallas,17,595924.53,200807.35,150032.88,50774.47
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,450056,SETON MEDICAL CENTER AUSTIN,1201 W 38TH ST,AUSTIN,Texas,78705,TX - Austin,17,782478.06,164439.47,144394.29,20045.18
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,450068,MEMORIAL HERMANN TEXAS MEDICAL CENTER,6411 FANNIN,HOUSTON,Texas,77030,TX - Houston,36,1344658.14,314998.47,256601.64,58396.83
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,450193,CHI ST LUKE'S HEALTH BAYLOR COLLEGE OF MEDICINE ME,6720 BERTNER,HOUSTON,Texas,77030,TX - Houston,46,859023.7,215446.35,181735.28,33711.07
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,450358,"METHODIST HOSPITAL,THE",6565 FANNIN,HOUSTON,Texas,77030,TX - Houston,25,1240823.28,238261.76,221480.24,16781.52
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,450388,METHODIST HOSPITAL,7700 FLOYD CURL DR,SAN ANTONIO,Texas,78229,TX - San Antonio,13,768450.08,176757.31,138245.31,38512
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,460009,UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND  CLINICS,50 NORTH MEDICAL DRIVE,SALT LAKE CITY,Utah,84132,UT - Salt Lake City,15,635153.27,292849.47,222587.67,70261.8
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,490007,SENTARA NORFOLK GENERAL HOSPITAL,600 GRESHAM DR,NORFOLK,Virginia,23507,VA - Norfolk,13,801000.38,281353.69,166683.85,114669.84
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,490032,MEDICAL COLLEGE OF VIRGINIA HOSPITALS,1250 EAST MARSHALL STREET - BOX 980510,RICHMOND,Virginia,23298,VA - Richmond,23,1132520.3,313627.65,263604,50023.65
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,490063,INOVA FAIRFAX HOSPITAL,3300 GALLOWS ROAD,FALLS CHURCH,Virginia,22042,VA - Arlington,19,441712.79,179066.53,161445.42,17621.11
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,500008,UNIVERSITY OF WASHINGTON MEDICAL CTR,1959 NE PACIFIC ST  BOX 356151,SEATTLE,Washington,98195,WA - Seattle,42,675729.24,289089.88,262069,27020.88
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,520138,AURORA ST LUKES MEDICAL CENTER,2900 W OKLAHOMA AVE,MILWAUKEE,Wisconsin,53215,WI - Milwaukee,18,636503.44,174729.89,160932.11,13797.78
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,Alabama,36301,AL - Dothan,178,47238.06,11352.07,10007.11,1344.96
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,Alabama,35957,AL - Birmingham,148,25384.95,11545.57,10106.6,1438.97
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,Alabama,35631,AL - Birmingham,204,50904.24,10800.58,9328.45,1472.13
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,Alabama,36467,AL - Dothan,19,49410.89,12118.05,10929,1189.05
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,Alabama,35235,AL - Birmingham,94,33076.81,12156.12,10441.99,1714.13
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,Alabama,35007,AL - Birmingham,104,56269.79,11537.52,10072.53,1464.99
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,Alabama,35660,AL - Birmingham,212,34674.46,11291.35,9551.15,1740.2
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,Alabama,36360,AL - Dothan,19,37826.89,12967.37,11849.26,1118.11
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,Alabama,36116,AL - Montgomery,309,40675.7,12682.64,10820.81,1861.83
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,Alabama,36106,AL - Montgomery,190,51405.44,11061.39,9342.19,1719.2
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,10029,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,Alabama,36801,AL - Birmingham,377,29940.67,11246.49,9607.95,1638.54
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,Alabama,35233,AL - Birmingham,235,53561.38,14717.87,12203.54,2514.33
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,Alabama,35058,AL - Birmingham,166,51613.72,13682.36,12074.3,1608.06
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,Alabama,36420,FL - Pensacola,63,57276.97,11137.13,9440.32,1696.81
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,Alabama,36201,AL - Birmingham,31,196793.65,10908.29,9101.32,1806.97
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,Alabama,35801,AL - Huntsville,951,64553.66,12592.97,10189.73,2403.24
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,Alabama,35903,AL - Birmingham,198,101483.85,11444.86,9730.04,1714.82
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,Alabama,35901,AL - Birmingham,98,147424.6,10435.86,8844.11,1591.75
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,Alabama,36330,AL - Dothan,100,85501.16,10604.05,9098.71,1505.34
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,Alabama,36305,AL - Dothan,237,66873.86,11220.16,9513.25,1706.91
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,Alabama,35205,AL - Birmingham,837,33790.3,11190.27,8334.32,2855.95
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,Alabama,35768,AL - Huntsville,34,43079.32,11366.56,10199.74,1166.82
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,10065,RUSSELL HOSPITAL,3316 HIGHWAY 280,ALEXANDER CITY,Alabama,35010,AL - Birmingham,45,26045.51,11438.82,9879.73,1559.09
